id,name,description,parentId,createdAt,updatedAt,heroBackgroundImage,isHeroTransparent,heroSubtitle,heroTitleFont,heroTitleColor,heroTitleSize,heroSubtitleFont,heroSubtitleColor,heroSubtitleSize,heroGradientFrom,heroGradientVia,heroGradientTo,categoryFont,categoryColor,categoryBgColor,ribbonColor,postCount,userGroupId,cityId,districtId,heroAlignment,backgroundColor,backgroundImage,borderBottomColor,borderColor,borderTopColor,gradientFrom,gradientTo,gradientVia,isGradient,isWallTransparent,isWallBackgroundRepeat,noBorder,navMenuBgColor,navMenuFont,navMenuFontSize,navMenuMainBold,navMenuTextColor,siteBackgroundColor,siteBackgroundImage,siteGradientFrom,siteGradientTo,siteGradientVia,siteIsGradient,contactName,contactPhone,contactEmail,homeCategoryIds,postitLimit,order,icon,logoUrl,logoPosition,logoSize,useParentLogo,useCustomLayout,customLayout
cmmuheiqm000vw8wtf66x6xqd,YOL ARKADAŞIM,Yol Arkadaşım,,2026-03-17T10:40:37.726Z,2026-03-17T19:15:32.201Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,60,🗽,,top-right,medium,false,false,"[]"
cmmuhf6v8000yw8wtx3fosjpa,SPOR,Spor,,2026-03-17T10:41:08.996Z,2026-03-17T19:05:49.962Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,30,⚽,,top-right,medium,false,false,"[]"
cmmuhne270001w8qzpz47bj8w,Spor Yorumları,Spor Yorumları,cmmuhf6v8000yw8wtx3fosjpa,2026-03-17T10:47:31.567Z,2026-03-17T10:47:31.567Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuho2xm0004w8qzxwdr87b1,Spor Etkinlikleri,Spor Etkinlikleri,cmmuhf6v8000yw8wtx3fosjpa,2026-03-17T10:48:03.801Z,2026-03-17T10:48:03.801Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhomqi0007w8qz0wmledeh,Klüpler,Klüpler,cmmuhf6v8000yw8wtx3fosjpa,2026-03-17T10:48:29.466Z,2026-03-17T10:49:46.617Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhp9ts000aw8qzn2frx4s1,Sporcular Hakkında,Sporcular Hakkında,cmmuhf6v8000yw8wtx3fosjpa,2026-03-17T10:48:59.391Z,2026-03-17T10:50:37.908Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhpt39000dw8qzgfsdjrdp,Spor Müsabakaları,Spor Müsabakaları,cmmuhf6v8000yw8wtx3fosjpa,2026-03-17T10:49:24.357Z,2026-03-17T10:50:16.116Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhsl87000gw8qz5eduhe0o,DUYURULAR,Duyurular,,2026-03-17T10:51:34.135Z,2026-03-17T19:14:29.214Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,40,⚠️,,top-right,medium,false,false,"[]"
cmmuht4do000jw8qzaisuuoz5,Çalıntı,Çalıntı,cmmuhsl87000gw8qz5eduhe0o,2026-03-17T10:51:58.955Z,2026-03-17T10:51:58.955Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhtlzs000mw8qzzk0gn2dk,Buluntu,Buluntu,cmmuhsl87000gw8qz5eduhe0o,2026-03-17T10:52:21.784Z,2026-03-17T10:52:21.784Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
